catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
112,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/112_da_2.tif,0.0261094756237055,0.192,13.93359,91.23,-0.65,4.79,,,
113,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/113_dv_0.tif,0.0579210608220836,0.368,6.185472,93.71,-0.99,11.07,,,
114,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/114_dv_0.tif,0.1065641376502502,0.321,,93.05,-0.89,9.63,,,
115,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/115_ab_0.tif,0.0153750263854179,0.176,59.87507,95.82,-0.75,2.05,,,
116,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/116_km_1.tif,0.0192735600965654,0.169,62.2257,92.66,-0.51,1.36,,,
117,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/117_kk_2.tif,0.0183167170232641,0.308,48.23056,92.55,-0.07,3.92,,,
118,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/118_ke_0.tif,0.0120850926634851,0.24,54.25431,90.93,-1.83,9.08,,,
119,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/119_ab_2.tif,0.0247846773079516,0.226,11.84727,88.69,1.89,3.41,,,
120,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/120_ke_1.tif,0.0086683039136977,0.233,94.94874,90.49,-1.22,9.34,,,
121,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/121_ke_0.tif,0.0400062638242751,0.239,33.47453,90.12,-0.99,11.72,,,
